Player,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Che Adams,0.3,Southampton,23,12.3,4.0,37.0,9.0,24.3,3.0,0.73,0.11,0.44,15.2,0.0,0.0,0.0,4.0,4.0,0.11,0.0,0.0,184.0,265.0,69.4,2931.0,631.0,96.0,124.0,77.4,66.0,91.0,72.5,12.0,24.0,50.0,2.0,1.2,0.8,11.0,12.0,3.0,0.0,19.0,25.0,2.03,15.0,0.0,3.0,2.0,4.0,1.0,5.0,0.41,2.0,0.0,1.0,0.0,2.0,0.0,8.0,6.0,2.0,4.0,2.0,0.0,5.0,0.0,5.0,231.0,58.0,25.1,9.0,97.0,125.0,10.0,1.0,0.0,9.0,3.0,11.0,10.0,0.0
Tyler Adams,0.15,RB Leipzig,20,10.6,0.0,7.0,1.0,14.3,0.66,0.09,0.0,0.0,17.1,0.0,0.0,0.0,0.4,0.4,0.06,-0.4,-0.4,595.0,699.0,85.1,9793.0,2653.0,292.0,325.0,89.8,242.0,276.0,87.7,49.0,69.0,71.0,0.0,0.5,-0.5,6.0,30.0,8.0,2.0,38.0,18.0,1.7,14.0,1.0,0.0,2.0,1.0,0.0,2.0,0.19,1.0,0.0,0.0,0.0,1.0,0.0,23.0,12.0,13.0,8.0,2.0,9.0,30.0,30.0,21.0,194.0,60.0,30.9,79.0,88.0,27.0,22.0,1.0,0.0,21.0,7.0,30.0,16.0,0.0
Sargis Adamyan,0.25,Hoffenheim,26,8.3,5.0,20.0,10.0,50.0,2.41,1.21,0.25,0.5,11.3,0.0,0.0,0.0,4.1,4.1,0.2,0.9,0.9,140.0,191.0,73.3,2008.0,429.0,90.0,110.0,81.8,40.0,54.0,74.1,6.0,11.0,54.5,1.0,0.9,0.1,7.0,5.0,4.0,2.0,13.0,20.0,2.41,16.0,0.0,1.0,1.0,2.0,0.0,4.0,0.48,3.0,0.0,0.0,0.0,1.0,0.0,10.0,4.0,2.0,5.0,3.0,4.0,24.0,16.7,20.0,209.0,45.0,21.5,33.0,93.0,83.0,5.0,1.0,0.0,4.0,3.0,13.0,5.0,0.0
Bobby Adekanye,0.3,Lazio,20,2.1,1.0,5.0,4.0,80.0,2.39,1.91,0.2,0.25,10.7,0.0,0.0,0.0,1.7,1.7,0.34,-0.7,-0.7,41.0,46.0,89.1,546.0,68.0,26.0,31.0,83.9,12.0,12.0,100.0,1.0,1.0,100.0,0.0,0.1,-0.1,2.0,1.0,0.0,0.0,1.0,6.0,2.87,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,4.0,0.0,1.0,5.0,20.0,4.0,60.0,10.0,16.7,4.0,37.0,19.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,0.0
Claud Adjapong,0.1,Hellas Verona,21,2.6,0.0,3.0,1.0,33.3,1.17,0.39,0.0,0.0,13.9,0.0,0.0,0.0,0.6,0.6,0.18,-0.6,-0.6,61.0,80.0,76.3,1113.0,358.0,27.0,33.0,81.8,25.0,30.0,83.3,7.0,14.0,50.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,1.0,0.39,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0,50.0,12.0,24.0,28.0,11.0,11.0,5.0,3.0,0.0,2.0,3.0,8.0,9.0,0.0
Amine Adli,0.25,Toulouse,19,0.5,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,21.0,27.0,77.8,336.0,127.0,12.0,12.0,100.0,7.0,9.0,77.8,2.0,6.0,33.3,0.0,0.1,-0.1,2.0,4.0,1.0,0.0,4.0,3.0,5.87,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,17.0,4.0,23.5,6.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Yacine Adli,0.25,Bordeaux,19,11.3,3.0,18.0,6.0,33.3,1.59,0.53,0.17,0.5,23.1,1.0,0.0,0.0,0.9,0.9,0.05,2.1,2.1,460.0,581.0,79.2,8419.0,1963.0,216.0,250.0,86.4,178.0,215.0,82.8,59.0,99.0,59.6,3.0,2.0,1.0,18.0,50.0,7.0,0.0,54.0,38.0,3.35,25.0,5.0,4.0,2.0,1.0,1.0,7.0,0.62,3.0,1.0,2.0,1.0,0.0,0.0,27.0,18.0,6.0,15.0,6.0,10.0,31.0,32.3,21.0,328.0,86.0,26.2,72.0,166.0,90.0,11.0,0.0,0.0,11.0,9.0,36.0,4.0,0.0
Aritz Aduriz,0.3,Athletic Club,38,2.3,1.0,6.0,3.0,50.0,2.6,1.3,0.17,0.33,13.9,0.0,0.0,1.0,1.3,0.6,0.1,-0.3,0.4,33.0,57.0,57.9,428.0,88.0,26.0,34.0,76.5,6.0,16.0,37.5,1.0,6.0,16.7,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,0.87,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,16.0,4.0,25.0,4.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0
Lumor Agbenyenu,0.1,Mallorca,22,20.1,1.0,14.0,2.0,14.3,0.7,0.1,0.07,0.5,29.9,0.0,0.0,0.0,0.3,0.3,0.02,0.7,0.7,709.0,969.0,73.2,12419.0,6169.0,326.0,372.0,87.6,305.0,410.0,74.4,67.0,138.0,48.6,0.0,1.9,-1.9,16.0,47.0,21.0,12.0,69.0,33.0,1.65,23.0,4.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,23.0,24.0,9.0,2.0,18.0,35.0,51.4,17.0,225.0,66.0,29.3,129.0,70.0,26.0,37.0,1.0,0.0,36.0,11.0,46.0,62.0,0.0
Martin Agirregabiria,0.1,Alaves,23,23.3,1.0,3.0,1.0,33.3,0.13,0.04,0.33,1.0,24.3,0.0,0.0,0.0,0.9,0.9,0.3,0.1,0.1,722.0,1014.0,71.2,12634.0,6071.0,329.0,385.0,85.5,314.0,408.0,77.0,70.0,172.0,40.7,1.0,1.0,0.0,12.0,36.0,14.0,5.0,60.0,23.0,0.99,18.0,1.0,2.0,0.0,2.0,0.0,3.0,0.13,3.0,0.0,0.0,0.0,0.0,0.0,50.0,22.0,24.0,21.0,5.0,25.0,50.0,50.0,25.0,248.0,60.0,24.2,118.0,106.0,24.0,39.0,8.0,0.0,31.0,9.0,59.0,68.0,1.0
