Player,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Samu Castillejo,0.25,Milan,24,13.4,2.0,31.0,8.0,25.8,2.31,0.6,0.06,0.25,16.9,0.0,0.0,0.0,3.0,3.0,0.1,-1.0,-1.0,422.0,560.0,75.4,6957.0,2008.0,237.0,266.0,89.1,133.0,171.0,77.8,43.0,99.0,43.4,3.0,2.9,0.1,41.0,25.0,21.0,5.0,40.0,66.0,4.91,42.0,11.0,6.0,1.0,3.0,3.0,6.0,0.45,4.0,1.0,0.0,0.0,1.0,0.0,25.0,18.0,9.0,11.0,5.0,9.0,36.0,25.0,27.0,327.0,87.0,26.6,73.0,145.0,109.0,37.0,2.0,0.0,35.0,18.0,43.0,6.0,0.0
Jonny Castro,0.1,Wolves,25,32.1,2.0,17.0,5.0,29.4,0.53,0.16,0.12,0.4,17.9,0.0,0.0,0.0,1.3,1.3,0.08,0.7,0.7,1177.0,1445.0,81.5,17892.0,5897.0,685.0,760.0,90.1,402.0,500.0,80.4,63.0,109.0,57.8,2.0,0.9,1.1,19.0,53.0,20.0,5.0,87.0,54.0,1.68,42.0,2.0,2.0,0.0,3.0,5.0,7.0,0.22,5.0,1.0,0.0,0.0,0.0,1.0,98.0,61.0,60.0,29.0,9.0,34.0,90.0,37.8,56.0,722.0,215.0,29.8,327.0,283.0,112.0,79.0,9.0,0.0,70.0,36.0,134.0,45.0,2.0
Lucas Castro,0.2,Cagliari,30,6.7,2.0,14.0,3.0,21.4,2.08,0.45,0.14,0.67,20.8,0.0,0.0,0.0,0.8,0.8,0.06,1.2,1.2,218.0,294.0,74.1,3711.0,1253.0,109.0,122.0,89.3,81.0,104.0,77.9,21.0,51.0,41.2,0.0,0.5,-0.5,8.0,20.0,7.0,3.0,29.0,15.0,2.23,10.0,1.0,2.0,0.0,0.0,2.0,1.0,0.15,1.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,5.0,7.0,2.0,7.0,21.0,33.3,14.0,107.0,28.0,26.2,33.0,49.0,25.0,7.0,1.0,0.0,6.0,4.0,18.0,17.0,0.0
Lucas Castro,0.2,SPAL,30,4.7,0.0,10.0,2.0,20.0,2.12,0.42,0.0,0.0,21.8,0.0,0.0,0.0,0.6,0.6,0.06,-0.6,-0.6,166.0,213.0,77.9,2727.0,771.0,93.0,109.0,85.3,53.0,68.0,77.9,16.0,27.0,59.3,0.0,0.3,-0.3,6.0,22.0,4.0,0.0,27.0,13.0,2.75,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,5.0,5.0,1.0,5.0,9.0,55.6,4.0,65.0,20.0,30.8,25.0,27.0,13.0,6.0,0.0,0.0,6.0,1.0,12.0,3.0,0.0
Gaetano Castrovilli,0.2,Fiorentina,22,29.7,3.0,48.0,11.0,22.9,1.62,0.37,0.06,0.27,18.2,1.0,0.0,0.0,3.1,3.1,0.06,-0.1,-0.1,922.0,1141.0,80.8,15550.0,4179.0,452.0,518.0,87.3,349.0,411.0,84.9,91.0,143.0,63.6,2.0,2.7,-0.7,35.0,108.0,30.0,5.0,99.0,98.0,3.3,70.0,1.0,12.0,2.0,12.0,1.0,6.0,0.2,5.0,0.0,0.0,0.0,1.0,0.0,74.0,46.0,33.0,24.0,17.0,14.0,54.0,25.9,40.0,687.0,184.0,26.8,226.0,297.0,164.0,53.0,5.0,0.0,48.0,25.0,99.0,28.0,1.0
Danilo Cataldi,0.2,Lazio,24,6.6,1.0,9.0,1.0,11.1,1.37,0.15,0.11,1.0,33.6,2.0,0.0,0.0,0.5,0.5,0.06,0.5,0.5,377.0,454.0,83.0,7610.0,2821.0,129.0,141.0,91.5,179.0,196.0,91.3,63.0,103.0,61.2,0.0,0.6,-0.6,12.0,58.0,8.0,1.0,49.0,28.0,4.26,19.0,6.0,1.0,1.0,0.0,1.0,2.0,0.3,1.0,0.0,0.0,0.0,0.0,1.0,19.0,14.0,11.0,5.0,3.0,6.0,18.0,33.3,12.0,115.0,28.0,24.3,53.0,46.0,16.0,8.0,1.0,0.0,7.0,5.0,24.0,6.0,0.0
Craig Cathcart,0.1,Watford,30,27.6,0.0,2.0,1.0,50.0,0.07,0.04,0.0,0.0,8.0,0.0,0.0,0.0,0.3,0.3,0.15,-0.3,-0.3,716.0,860.0,83.3,15657.0,4879.0,229.0,255.0,89.8,331.0,369.0,89.7,149.0,222.0,67.1,0.0,0.0,0.0,1.0,37.0,3.0,1.0,38.0,5.0,0.18,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,37.0,26.0,21.0,15.0,1.0,10.0,30.0,33.3,20.0,196.0,70.0,35.7,112.0,76.0,8.0,35.0,16.0,1.0,19.0,16.0,53.0,193.0,2.0
Edinson Cavani,0.3,Paris S G,32,6.7,4.0,28.0,10.0,35.7,4.17,1.49,0.11,0.3,10.2,1.0,1.0,1.0,7.7,6.9,0.25,-3.7,-3.9,120.0,140.0,85.7,1823.0,296.0,64.0,73.0,87.7,42.0,45.0,93.3,7.0,13.0,53.8,1.0,1.5,-0.5,10.0,6.0,6.0,2.0,11.0,23.0,3.42,18.0,0.0,3.0,2.0,0.0,0.0,2.0,0.3,1.0,0.0,0.0,1.0,0.0,0.0,6.0,4.0,1.0,2.0,3.0,1.0,5.0,20.0,4.0,90.0,19.0,21.1,1.0,37.0,52.0,7.0,1.0,0.0,6.0,0.0,6.0,0.0,0.0
Santi Cazorla,0.2,Villarreal,34,27.2,11.0,39.0,14.0,35.9,1.43,0.51,0.08,0.21,23.9,0.0,8.0,8.0,8.5,2.4,0.06,2.5,0.6,1414.0,1733.0,81.6,29757.0,8561.0,551.0,624.0,88.3,554.0,630.0,87.9,296.0,435.0,68.0,9.0,6.5,2.5,66.0,190.0,49.0,10.0,175.0,136.0,5.0,92.0,33.0,3.0,3.0,4.0,1.0,17.0,0.62,13.0,2.0,0.0,1.0,1.0,0.0,44.0,28.0,14.0,27.0,3.0,18.0,58.0,31.0,40.0,476.0,131.0,27.5,134.0,259.0,83.0,35.0,2.0,0.0,33.0,13.0,57.0,9.0,0.0
Dani Ceballos,0.2,Arsenal,22,18.8,0.0,13.0,3.0,23.1,0.69,0.16,0.0,0.0,21.6,0.0,0.0,0.0,0.5,0.5,0.04,-0.5,-0.5,1096.0,1301.0,84.2,22107.0,5542.0,417.0,451.0,92.5,483.0,529.0,91.3,189.0,278.0,68.0,2.0,1.9,0.1,29.0,120.0,30.0,2.0,105.0,49.0,2.61,32.0,12.0,0.0,1.0,2.0,2.0,8.0,0.43,5.0,1.0,0.0,0.0,0.0,2.0,49.0,28.0,25.0,17.0,7.0,17.0,62.0,27.4,45.0,445.0,120.0,27.0,197.0,191.0,57.0,29.0,4.0,0.0,25.0,19.0,68.0,22.0,1.0
Federico Ceccherini,0.1,Fiorentina,27,9.3,0.0,4.0,0.0,0.0,0.43,0.0,0.0,0,14.3,0.0,0.0,0.0,0.2,0.2,0.06,-0.2,-0.2,346.0,395.0,87.6,7129.0,2703.0,117.0,128.0,91.4,173.0,188.0,92.0,53.0,72.0,73.6,0.0,0.0,0.0,1.0,17.0,2.0,0.0,13.0,4.0,0.43,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,8.0,4.0,0.0,6.0,8.0,75.0,2.0,63.0,28.0,44.4,30.0,29.0,4.0,12.0,5.0,0.0,7.0,10.0,22.0,56.0,1.0
Christian Celesia,0.1,Torino,17,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,100.0,19.0,7.0,0.0,0.0,0,1.0,1.0,100.0,0.0,0.0,0,0.0,0.3,-0.3,1.0,0.0,0.0,0.0,0.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zeki Celik,0.1,Lille,22,23.0,0.0,5.0,1.0,20.0,0.22,0.04,0.0,0.0,18.5,0.0,0.0,0.0,0.3,0.3,0.06,-0.3,-0.3,1094.0,1365.0,80.1,19716.0,7586.0,500.0,567.0,88.2,439.0,513.0,85.6,132.0,224.0,58.9,2.0,1.7,0.3,17.0,89.0,27.0,11.0,118.0,30.0,1.3,26.0,2.0,1.0,0.0,1.0,0.0,5.0,0.22,3.0,1.0,0.0,0.0,1.0,0.0,65.0,34.0,32.0,28.0,5.0,31.0,79.0,39.2,48.0,391.0,118.0,30.2,139.0,175.0,77.0,37.0,5.0,0.0,32.0,15.0,80.0,49.0,0.0
Fabien Centonze,0.1,Metz,23,28.0,0.0,9.0,3.0,33.3,0.32,0.11,0.0,0.0,23.9,0.0,0.0,0.0,0.4,0.4,0.04,-0.4,-0.4,980.0,1297.0,75.6,17249.0,7588.0,449.0,518.0,86.7,424.0,533.0,79.5,89.0,189.0,47.1,3.0,2.3,0.7,21.0,56.0,26.0,17.0,67.0,42.0,1.5,30.0,1.0,3.0,1.0,4.0,3.0,5.0,0.18,4.0,0.0,0.0,0.0,0.0,1.0,89.0,53.0,60.0,25.0,4.0,33.0,58.0,56.9,25.0,444.0,116.0,26.1,251.0,149.0,44.0,61.0,11.0,0.0,50.0,45.0,134.0,147.0,1.0
Luca Ceppitelli,0.1,Cagliari,29,13.8,2.0,5.0,2.0,40.0,0.36,0.14,0.4,1.0,13.3,0.0,0.0,0.0,0.4,0.4,0.09,1.6,1.6,403.0,505.0,79.8,9987.0,3664.0,79.0,96.0,82.3,204.0,226.0,90.3,112.0,171.0,65.5,0.0,0.1,-0.1,2.0,21.0,3.0,1.0,13.0,6.0,0.43,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,20.0,12.0,16.0,4.0,0.0,5.0,7.0,71.4,2.0,100.0,26.0,26.0,76.0,21.0,3.0,30.0,16.0,1.0,14.0,17.0,37.0,85.0,1.0
Alberto Cerri,0.3,Cagliari,23,2.7,1.0,7.0,3.0,42.9,2.58,1.11,0.14,0.33,16.6,0.0,0.0,0.0,0.6,0.6,0.09,0.4,0.4,70.0,103.0,68.0,1167.0,111.0,33.0,44.0,75.0,26.0,40.0,65.0,8.0,11.0,72.7,0.0,0.2,-0.2,3.0,3.0,2.0,0.0,4.0,4.0,1.48,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,1.0,0.0,2.0,5.0,40.0,3.0,34.0,9.0,26.5,2.0,18.0,14.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0
Alberto Cerri,0.3,SPAL,23,4.7,1.0,10.0,4.0,40.0,2.14,0.86,0.1,0.25,15.3,0.0,0.0,0.0,1.2,1.2,0.12,-0.2,-0.2,94.0,144.0,65.3,1456.0,243.0,57.0,78.0,73.1,26.0,42.0,61.9,9.0,16.0,56.3,0.0,0.7,-0.7,8.0,8.0,5.0,0.0,12.0,11.0,2.36,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,3.0,33.3,2.0,47.0,9.0,19.1,3.0,22.0,22.0,1.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0
Julian Chabot,0.1,Sampdoria,21,6.3,1.0,1.0,1.0,100.0,0.16,0.16,1.0,1.0,7.0,0.0,0.0,0.0,0.1,0.1,0.07,0.9,0.9,205.0,238.0,86.1,4419.0,1377.0,60.0,63.0,95.2,104.0,113.0,92.0,35.0,51.0,68.6,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,1.0,0.16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,10.0,4.0,0.0,3.0,6.0,50.0,3.0,67.0,21.0,31.3,44.0,21.0,2.0,8.0,2.0,0.0,6.0,14.0,28.0,40.0,1.0
Florian Chabrolle,0.2,Marseille,21,0.2,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,14.0,16.0,87.5,171.0,74.0,12.0,12.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,3.0,37.5,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fouad Chafik,0.1,Dijon,32,17.0,0.0,7.0,0.0,0.0,0.41,0.0,0.0,0,26.6,0.0,0.0,0.0,0.2,0.2,0.02,-0.2,-0.2,702.0,914.0,76.8,13803.0,5946.0,288.0,321.0,89.7,295.0,372.0,79.3,110.0,194.0,56.7,2.0,1.9,0.1,22.0,65.0,29.0,15.0,77.0,46.0,2.71,36.0,5.0,1.0,0.0,3.0,1.0,5.0,0.29,5.0,0.0,0.0,0.0,0.0,0.0,40.0,23.0,24.0,12.0,4.0,17.0,42.0,40.5,25.0,212.0,57.0,26.9,105.0,88.0,19.0,21.0,3.0,0.0,18.0,30.0,70.0,45.0,0.0
Sofian Chakla,0.1,Villarreal,25,2.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0,13.0,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1,79.0,95.0,83.2,1839.0,568.0,18.0,19.0,94.7,40.0,48.0,83.3,20.0,27.0,74.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,11.0,5.0,45.5,8.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,9.0,0.0
Nathaniel Chalobah,0.2,Watford,24,10.3,0.0,9.0,0.0,0.0,0.87,0.0,0.0,0,21.6,2.0,0.0,0.0,0.4,0.4,0.05,-0.4,-0.4,263.0,358.0,73.5,4592.0,1237.0,123.0,153.0,80.4,106.0,126.0,84.1,27.0,57.0,47.4,1.0,1.1,-0.1,8.0,24.0,4.0,0.0,34.0,19.0,1.84,16.0,2.0,0.0,0.0,0.0,1.0,2.0,0.19,2.0,0.0,0.0,0.0,0.0,0.0,32.0,19.0,10.0,15.0,7.0,9.0,27.0,33.3,18.0,227.0,65.0,28.6,76.0,112.0,39.0,14.0,5.0,0.0,9.0,9.0,41.0,32.0,0.0
Calum Chambers,0.1,Arsenal,24,12.2,1.0,12.0,2.0,16.7,0.98,0.16,0.08,0.5,11.6,0.0,0.0,0.0,0.7,0.7,0.06,0.3,0.3,702.0,865.0,81.2,14269.0,4326.0,226.0,258.0,87.6,361.0,408.0,88.5,108.0,168.0,64.3,1.0,0.7,0.3,4.0,36.0,5.0,2.0,45.0,17.0,1.39,9.0,2.0,0.0,4.0,0.0,2.0,3.0,0.25,1.0,0.0,0.0,1.0,0.0,1.0,25.0,18.0,14.0,8.0,3.0,9.0,12.0,75.0,3.0,143.0,51.0,35.7,77.0,41.0,25.0,21.0,7.0,0.0,14.0,13.0,38.0,61.0,0.0
Jhon Chancellor,0.1,Brescia,27,24.9,3.0,13.0,3.0,23.1,0.52,0.12,0.23,1.0,7.6,0.0,0.0,0.0,2.0,2.0,0.15,1.0,1.0,745.0,849.0,87.8,16773.0,4413.0,165.0,184.0,89.7,442.0,476.0,92.9,129.0,165.0,78.2,0.0,0.0,0.0,0.0,18.0,1.0,0.0,26.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,19.0,22.0,5.0,1.0,12.0,29.0,41.4,17.0,229.0,63.0,27.5,166.0,57.0,6.0,55.0,30.0,1.0,25.0,14.0,42.0,198.0,5.0
Timothy Chandler,0.15,Eint Frankfurt,29,13.6,5.0,19.0,8.0,42.1,1.4,0.59,0.26,0.63,13.8,0.0,0.0,0.0,1.8,1.8,0.09,3.2,3.2,290.0,462.0,62.8,5690.0,2696.0,113.0,150.0,75.3,136.0,201.0,67.7,39.0,87.0,44.8,1.0,1.0,0.0,12.0,26.0,19.0,14.0,54.0,23.0,1.7,15.0,4.0,1.0,1.0,2.0,0.0,3.0,0.22,1.0,1.0,1.0,0.0,0.0,0.0,20.0,10.0,9.0,6.0,5.0,7.0,15.0,46.7,8.0,195.0,51.0,26.2,77.0,72.0,46.0,22.0,5.0,1.0,17.0,6.0,26.0,25.0,0.0
Kwon Chang hoon,0.25,Freiburg,25,7.5,2.0,15.0,6.0,40.0,2.0,0.8,0.13,0.33,18.8,0.0,0.0,0.0,1.9,1.9,0.12,0.1,0.1,198.0,275.0,72.0,3593.0,983.0,93.0,115.0,80.9,78.0,100.0,78.0,24.0,44.0,54.5,0.0,1.1,-1.1,10.0,15.0,9.0,5.0,21.0,21.0,2.8,14.0,0.0,4.0,1.0,2.0,0.0,3.0,0.4,1.0,0.0,0.0,0.0,2.0,0.0,9.0,6.0,2.0,4.0,3.0,1.0,14.0,7.1,13.0,142.0,37.0,26.1,29.0,63.0,50.0,8.0,1.0,0.0,7.0,7.0,16.0,12.0,0.0
Gaetan Charbonnier,0.25,Brest,30,22.9,4.0,48.0,14.0,29.2,2.09,0.61,0.08,0.29,18.2,0.0,0.0,2.0,6.4,4.9,0.1,-2.4,-0.9,627.0,821.0,76.4,10591.0,2771.0,355.0,417.0,85.1,193.0,246.0,78.5,68.0,114.0,59.6,5.0,3.1,1.9,32.0,57.0,22.0,3.0,77.0,60.0,2.62,50.0,1.0,1.0,1.0,3.0,4.0,8.0,0.35,8.0,0.0,0.0,0.0,0.0,0.0,38.0,22.0,11.0,12.0,15.0,9.0,33.0,27.3,24.0,378.0,91.0,24.1,37.0,177.0,164.0,29.0,6.0,0.0,23.0,5.0,43.0,28.0,1.0
Brendan Chardonnet,0.1,Brest,24,9.1,0.0,3.0,0.0,0.0,0.33,0.0,0.0,0,21.3,0.0,0.0,0.0,0.1,0.1,0.02,-0.1,-0.1,478.0,536.0,89.2,11897.0,3477.0,102.0,107.0,95.3,231.0,251.0,92.0,144.0,175.0,82.3,0.0,0.0,0.0,2.0,32.0,2.0,0.0,37.0,5.0,0.55,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0,11.0,4.0,2.0,3.0,9.0,33.3,6.0,81.0,29.0,35.8,52.0,27.0,2.0,15.0,8.0,0.0,7.0,8.0,25.0,70.0,0.0
Charles,0.3,Eibar,35,14.5,6.0,23.0,9.0,39.1,1.59,0.62,0.22,0.56,14.1,0.0,1.0,2.0,4.5,3.0,0.13,1.5,2.0,237.0,346.0,68.5,3241.0,415.0,138.0,194.0,71.1,72.0,105.0,68.6,10.0,15.0,66.7,0.0,0.8,-0.8,10.0,14.0,4.0,1.0,11.0,25.0,1.73,17.0,0.0,1.0,1.0,5.0,1.0,2.0,0.14,1.0,0.0,0.0,0.0,1.0,0.0,13.0,6.0,2.0,7.0,4.0,2.0,13.0,15.4,11.0,228.0,52.0,22.8,11.0,101.0,116.0,12.0,3.0,0.0,9.0,3.0,16.0,7.0,0.0
Xavier Chavalerin,0.2,Reims,28,23.9,1.0,19.0,3.0,15.8,0.8,0.13,0.05,0.33,21.1,0.0,0.0,0.0,0.7,0.7,0.04,0.3,0.3,848.0,1096.0,77.4,16927.0,5347.0,358.0,405.0,88.4,320.0,379.0,84.4,156.0,281.0,55.5,3.0,2.2,0.8,38.0,74.0,26.0,7.0,89.0,57.0,2.39,31.0,21.0,1.0,0.0,1.0,3.0,4.0,0.17,2.0,2.0,0.0,0.0,0.0,0.0,76.0,52.0,29.0,39.0,8.0,24.0,62.0,38.7,38.0,504.0,149.0,29.6,167.0,257.0,80.0,39.0,6.0,0.0,33.0,29.0,105.0,41.0,0.0
Pablo Chavarria,0.25,Mallorca,31,2.3,0.0,5.0,0.0,0.0,2.15,0.0,0.0,0,12.1,0.0,0.0,0.0,0.6,0.6,0.12,-0.6,-0.6,40.0,63.0,63.5,494.0,91.0,24.0,33.0,72.7,11.0,18.0,61.1,1.0,4.0,25.0,0.0,0.7,-0.7,2.0,0.0,1.0,0.0,3.0,5.0,2.15,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,69.0,10.0,14.5,18.0,22.0,29.0,3.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0
Aurelien Chedjou,0.1,Amiens,34,21.9,0.0,8.0,2.0,25.0,0.37,0.09,0.0,0.0,9.7,0.0,0.0,0.0,0.4,0.4,0.05,-0.4,-0.4,828.0,994.0,83.3,19119.0,7621.0,229.0,249.0,92.0,400.0,440.0,90.9,190.0,289.0,65.7,0.0,0.2,-0.2,2.0,79.0,2.0,0.0,84.0,12.0,0.55,10.0,1.0,0.0,1.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,35.0,27.0,24.0,11.0,0.0,12.0,26.0,46.2,14.0,183.0,66.0,36.1,121.0,58.0,4.0,33.0,15.0,0.0,18.0,27.0,62.0,183.0,1.0
Pape Cheikh Diop,0.2,Celta Vigo,21,6.7,0.0,2.0,0.0,0.0,0.3,0.0,0.0,0,15.5,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1,238.0,264.0,90.2,4097.0,948.0,107.0,118.0,90.7,95.0,104.0,91.3,28.0,32.0,87.5,1.0,0.3,0.7,5.0,19.0,2.0,0.0,19.0,11.0,1.65,7.0,0.0,1.0,0.0,3.0,0.0,4.0,0.6,1.0,0.0,1.0,0.0,2.0,0.0,12.0,6.0,6.0,4.0,2.0,3.0,14.0,21.4,11.0,143.0,38.0,26.6,44.0,72.0,27.0,3.0,2.0,0.0,1.0,2.0,14.0,4.0,0.0
Chema,0.1,Getafe,27,3.4,0.0,3.0,0.0,0.0,0.87,0.0,0.0,0,12.0,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1,75.0,123.0,61.0,1962.0,689.0,14.0,22.0,63.6,39.0,48.0,81.3,21.0,51.0,41.2,0.0,0.0,0.0,0.0,8.0,0.0,0.0,6.0,1.0,0.29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0,0.0,23.0,12.0,52.2,7.0,15.0,1.0,3.0,0.0,0.0,3.0,2.0,4.0,18.0,0.0
Rayan Cherki,0.25,Lyon,15,1.6,0.0,3.0,2.0,66.7,1.89,1.26,0.0,0.0,23.7,0.0,0.0,0.0,0.2,0.2,0.05,-0.2,-0.2,44.0,66.0,66.7,617.0,127.0,27.0,34.0,79.4,13.0,15.0,86.7,1.0,7.0,14.3,0.0,0.1,-0.1,1.0,0.0,0.0,0.0,2.0,3.0,1.89,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.63,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,4.0,50.0,2.0,29.0,10.0,34.5,6.0,17.0,6.0,2.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0
Denis Cheryshev,0.25,Valencia,28,10.3,1.0,21.0,7.0,33.3,2.04,0.68,0.05,0.14,19.3,0.0,0.0,0.0,2.9,2.9,0.14,-1.9,-1.9,240.0,349.0,68.8,4058.0,1037.0,120.0,155.0,77.4,93.0,127.0,73.2,20.0,47.0,42.6,2.0,1.2,0.8,8.0,14.0,12.0,6.0,25.0,21.0,2.04,15.0,0.0,0.0,0.0,3.0,3.0,4.0,0.39,4.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,5.0,3.0,4.0,4.0,22.0,18.2,18.0,173.0,37.0,21.4,55.0,84.0,34.0,24.0,1.0,0.0,23.0,8.0,20.0,9.0,0.0
Giorgio Chiellini,0.1,Juventus,34,2.2,1.0,1.0,1.0,100.0,0.45,0.45,1.0,1.0,7.0,0.0,0.0,0.0,0.2,0.2,0.23,0.8,0.8,97.0,106.0,91.5,2022.0,587.0,25.0,25.0,100.0,52.0,56.0,92.9,18.0,22.0,81.8,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,2.0,0.89,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,1.0,1.0,100.0,0.0,18.0,11.0,61.1,10.0,8.0,0.0,5.0,3.0,0.0,2.0,1.0,4.0,10.0,0.0
Federico Chiesa,0.35,Fiorentina,21,29.3,11.0,109.0,40.0,36.7,3.72,1.37,0.09,0.25,18.0,2.0,1.0,2.0,11.3,9.8,0.09,-0.3,0.2,609.0,833.0,73.1,10230.0,3230.0,308.0,378.0,81.5,223.0,296.0,75.3,56.0,106.0,52.8,6.0,5.5,0.5,46.0,37.0,44.0,8.0,92.0,107.0,3.65,67.0,2.0,12.0,9.0,14.0,3.0,14.0,0.48,8.0,0.0,1.0,2.0,2.0,1.0,49.0,30.0,16.0,23.0,10.0,10.0,52.0,19.2,42.0,656.0,150.0,22.9,107.0,285.0,264.0,27.0,0.0,0.0,27.0,5.0,54.0,8.0,0.0
Ben Chilwell,0.1,Leicester City,22,26.4,3.0,15.0,6.0,40.0,0.57,0.23,0.2,0.5,18.1,0.0,0.0,0.0,1.0,1.0,0.07,2.0,2.0,1527.0,1955.0,78.1,26138.0,8345.0,749.0,828.0,90.5,638.0,778.0,82.0,124.0,278.0,44.6,3.0,3.6,-0.6,36.0,92.0,23.0,12.0,113.0,63.0,2.39,53.0,7.0,1.0,1.0,0.0,1.0,7.0,0.27,7.0,0.0,0.0,0.0,0.0,0.0,51.0,26.0,33.0,14.0,4.0,19.0,59.0,32.2,40.0,412.0,115.0,27.9,193.0,157.0,62.0,58.0,9.0,0.0,49.0,20.0,71.0,89.0,0.0
Vlad Chiriches,0.1,Sassuolo,29,7.9,0.0,2.0,0.0,0.0,0.25,0.0,0.0,0,7.1,0.0,0.0,0.0,0.2,0.2,0.09,-0.2,-0.2,455.0,489.0,93.0,9118.0,3030.0,147.0,155.0,94.8,243.0,259.0,93.8,60.0,68.0,88.2,0.0,0.0,0.0,0.0,21.0,1.0,0.0,21.0,2.0,0.25,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13,1.0,0.0,0.0,0.0,0.0,0.0,19.0,12.0,16.0,3.0,0.0,5.0,11.0,45.5,6.0,85.0,23.0,27.1,63.0,21.0,1.0,17.0,7.0,0.0,10.0,7.0,26.0,32.0,2.0
