Player,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,SCA,SCA90,PassLive,PassDead,Drib,Sh.1,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,Drib.1,Sh.2,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att.4,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh.3,ShSv,Pass,Int,Tkl+Int,Clr,Err,Cl_Squad,Cl_Country,Cl_LgR,Cl_GF,Cl_GA,Cl_GD,Cl_xG,Cl_xGA,Cl_xGD,Cl_xGD/90,Start_Value,Value_Change
Angelo Fulgini,0.2,Angers,22,17.5,1.0,34.0,16.0,47.1,1.94,0.91,0.03,0.06,18.1,0.0,0.0,0.0,3.1,3.1,0.09,-2.1,-2.1,741.0,930.0,79.7,12513.0,3791.0,393.0,446.0,88.1,257.0,301.0,85.4,72.0,130.0,55.4,1.0,2.1,-1.1,29.0,72.0,25.0,6.0,83.0,59.0,3.36,30.0,13.0,9.0,1.0,6.0,0.0,5.0,0.28,2.0,0.0,2.0,1.0,0.0,0.0,33.0,23.0,11.0,18.0,4.0,12.0,31.0,38.7,19.0,297.0,85.0,28.6,56.0,177.0,64.0,22.0,0.0,0.0,22.0,22.0,55.0,10.0,0.0, Angers,5,11,28,33,-5,27.0,28.7,-1.7,-0.06,4.5,6.3
Roberto Gagliardini,0.2,Inter,25,20.0,4.0,34.0,17.0,50.0,1.7,0.85,0.12,0.24,15.2,0.0,0.0,0.0,4.8,4.5,0.13,-0.8,-0.5,798.0,937.0,85.2,14319.0,4081.0,365.0,406.0,89.9,341.0,391.0,87.2,77.0,106.0,72.6,2.0,1.2,0.8,19.0,86.0,24.0,4.0,111.0,58.0,2.9,43.0,2.0,0.0,4.0,4.0,5.0,5.0,0.25,4.0,0.0,0.0,0.0,1.0,0.0,41.0,27.0,13.0,17.0,11.0,13.0,45.0,28.9,32.0,380.0,123.0,32.4,121.0,164.0,95.0,41.0,8.0,0.0,33.0,20.0,61.0,21.0,0.0, Inter,3,2,81,36,45,72.3,40.6,31.6,0.83,13.5,12.6
Dani Garcia,0.2,Athletic Club,29,33.7,0.0,14.0,0.0,0.0,0.42,0.0,0.0,0.0,21.5,0.0,0.0,0.0,0.5,0.5,0.04,-0.5,-0.5,1225.0,1471.0,83.3,26371.0,5816.0,373.0,432.0,86.3,585.0,660.0,88.6,247.0,340.0,72.6,1.0,1.0,0.0,15.0,109.0,4.0,1.0,93.0,25.0,0.74,18.0,3.0,1.0,1.0,0.0,2.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,74.0,43.0,30.0,38.0,6.0,22.0,79.0,27.8,57.0,501.0,155.0,30.9,159.0,295.0,47.0,52.0,7.0,0.0,45.0,28.0,102.0,102.0,1.0, Athletic Club,2,11,41,38,3,38.5,46.3,-7.8,-0.21,3.6,4.32
Dennis Geiger,0.2,Hoffenheim,21,12.6,0.0,14.0,1.0,7.1,1.11,0.08,0.0,0.0,18.9,1.0,0.0,0.0,1.2,1.2,0.09,-1.2,-1.2,516.0,621.0,83.1,9990.0,2695.0,203.0,229.0,88.6,224.0,248.0,90.3,81.0,123.0,65.9,3.0,2.0,1.0,27.0,37.0,12.0,2.0,58.0,41.0,3.25,19.0,18.0,1.0,1.0,1.0,1.0,4.0,0.32,2.0,2.0,0.0,0.0,0.0,0.0,15.0,10.0,4.0,10.0,1.0,2.0,15.0,13.3,13.0,215.0,60.0,27.9,41.0,120.0,54.0,12.0,2.0,0.0,10.0,7.0,22.0,6.0,0.0, Hoffenheim,4,6,53,53,0,49.9,51.8,-2.0,-0.06,7.65,9.9
Jeremy Gelin,0.15,Rennes,22,10.3,0.0,3.0,0.0,0.0,0.29,0.0,0.0,0.0,9.9,0.0,0.0,0.0,0.3,0.3,0.11,-0.3,-0.3,472.0,533.0,88.6,11524.0,3743.0,100.0,114.0,87.7,248.0,262.0,94.7,120.0,148.0,81.1,0.0,0.0,0.0,2.0,35.0,1.0,0.0,30.0,4.0,0.39,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,8.0,4.0,1.0,5.0,14.0,35.7,9.0,87.0,35.0,40.2,55.0,25.0,7.0,24.0,8.0,0.0,16.0,12.0,25.0,43.0,1.0, Rennes,5,3,38,24,14,36.2,29.2,7.1,0.25,5.4,4.32
Christian Gentner,0.2,Union Berlin,33,27.1,3.0,36.0,12.0,33.3,1.33,0.44,0.08,0.25,18.5,0.0,0.0,0.0,2.6,2.6,0.07,0.4,0.4,755.0,1034.0,73.0,13013.0,3860.0,354.0,434.0,81.6,300.0,380.0,78.9,82.0,156.0,52.6,2.0,2.3,-0.3,25.0,96.0,25.0,6.0,94.0,57.0,2.1,43.0,2.0,3.0,3.0,5.0,1.0,7.0,0.26,4.0,0.0,0.0,0.0,3.0,0.0,59.0,36.0,22.0,33.0,4.0,18.0,74.0,24.3,56.0,612.0,166.0,27.1,132.0,339.0,141.0,62.0,9.0,1.0,53.0,26.0,85.0,69.0,0.0, Union Berlin,4,11,41,58,-17,38.3,51.5,-13.2,-0.39,1.35,0.72
Yannick Gerhardt,0.2,Wolfsburg,25,9.2,2.0,11.0,4.0,36.4,1.2,0.43,0.18,0.5,16.4,0.0,0.0,0.0,1.8,1.8,0.16,0.2,0.2,302.0,390.0,77.4,5538.0,1413.0,127.0,161.0,78.9,135.0,161.0,83.9,33.0,53.0,62.3,0.0,0.2,-0.2,5.0,27.0,7.0,0.0,42.0,15.0,1.63,12.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,20.0,8.0,17.0,7.0,5.0,22.0,22.7,17.0,235.0,82.0,34.9,54.0,134.0,47.0,16.0,2.0,0.0,14.0,7.0,39.0,14.0,0.0, Wolfsburg,4,7,48,46,2,47.2,40.1,7.2,0.21,9.0,6.12
Klaus Gjasula,0.2,Paderborn 07,29,25.3,2.0,14.0,4.0,28.6,0.55,0.16,0.14,0.5,13.2,0.0,0.0,1.0,1.9,1.1,0.08,0.1,0.9,898.0,1154.0,77.8,20346.0,5856.0,284.0,349.0,81.4,404.0,481.0,84.0,203.0,284.0,71.5,1.0,1.5,-0.5,27.0,109.0,6.0,0.0,111.0,50.0,1.97,43.0,0.0,2.0,3.0,0.0,2.0,4.0,0.16,2.0,0.0,0.0,1.0,0.0,1.0,75.0,47.0,32.0,38.0,5.0,33.0,82.0,40.2,49.0,523.0,166.0,31.7,172.0,300.0,51.0,47.0,8.0,0.0,39.0,27.0,102.0,69.0,1.0, Paderborn 07,4,18,37,74,-37,38.4,67.5,-29.0,-0.85,0.675,0.653
Eddy Gnahore,0.2,Amiens,25,12.6,0.0,8.0,0.0,0.0,0.64,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.7,0.7,0.08,-0.7,-0.7,665.0,726.0,91.6,11753.0,2490.0,297.0,311.0,95.5,279.0,297.0,93.9,76.0,95.0,80.0,0.0,0.5,-0.5,6.0,49.0,2.0,0.0,43.0,13.0,1.03,12.0,0.0,0.0,1.0,0.0,0.0,1.0,0.08,0.0,0.0,0.0,1.0,0.0,0.0,27.0,20.0,12.0,12.0,3.0,5.0,26.0,19.2,21.0,276.0,64.0,23.2,87.0,153.0,36.0,27.0,5.0,0.0,22.0,13.0,40.0,29.0,0.0, Amiens,5,19,31,50,-19,26.7,35.4,-8.7,-0.31,3.6,1.8
Aleksandr Golovin,0.2,Monaco,23,22.9,3.0,38.0,14.0,36.8,1.66,0.61,0.08,0.21,20.5,1.0,0.0,0.0,3.0,3.0,0.08,0.0,0.0,871.0,1137.0,76.6,16127.0,4734.0,425.0,483.0,88.0,290.0,353.0,82.2,136.0,247.0,55.1,4.0,4.5,-0.5,45.0,93.0,28.0,1.0,105.0,83.0,3.62,41.0,27.0,9.0,1.0,4.0,1.0,8.0,0.35,5.0,2.0,1.0,0.0,0.0,0.0,52.0,35.0,16.0,30.0,6.0,16.0,74.0,21.6,58.0,627.0,153.0,24.4,153.0,345.0,129.0,41.0,0.0,0.0,41.0,28.0,80.0,19.0,0.0, Monaco,5,9,44,44,0,48.0,39.9,8.1,0.29,22.5,18.0
