Squad,Country,LgR,GF,GA,GD,xG,xGA,xGD,xGD/90
 Wolfsburg,4,7,48,46,+2,47.2,40.1,+7.2,+0.21
 Lyon,5,7,42,27,+15,37.3,25.9,+11.4,+0.41
 Montpellier,5,8,35,34,+1,32.1,33.9,-1.9,-0.07
 Monaco,5,9,44,44,0,48.0,39.9,+8.1,+0.29
 Getafe,2,8,43,37,+6,38.0,39.0,-1.1,-0.03
 Sheffield Utd,1,9,39,39,0,41.5,47.9,-6.4,-0.17
 Burnley,1,10,43,50,-7,43.9,48.2,-4.3,-0.11
 Freiburg,4,8,48,47,+1,41.7,61.0,-19.2,-0.57
 Strasbourg,5,10,32,32,0,35.0,30.8,+4.2,+0.16
 Angers,5,11,28,33,-5,27.0,28.7,-1.7,-0.06
 Valencia,2,9,46,53,-7,40.4,52.4,-12.0,-0.32
 Osasuna,2,10,46,54,-8,44.5,46.2,-1.7,-0.05
 Southampton,1,11,51,60,-9,53.7,53.1,+0.7,+0.02
 Sassuolo,3,8,69,63,+6,56.0,63.8,-7.8,-0.21
 Athletic Club,2,11,41,38,+3,38.5,46.3,-7.8,-0.21
 Bordeaux,5,12,40,34,+6,29.7,33.3,-3.6,-0.13
 Eint Frankfurt,4,9,59,60,-1,52.5,49.1,+3.4,+0.10
 Nantes,5,13,28,31,-3,27.7,33.5,-5.8,-0.21
 Fiorentina,3,10,51,48,+3,54.7,48.9,+5.8,+0.15
 Parma,3,11,56,57,-1,46.6,62.1,-15.5,-0.41
 Hellas Verona,3,9,47,51,-4,49.2,52.5,-3.3,-0.09
 Levante,2,12,47,53,-6,41.8,60.7,-18.9,-0.50
 Everton,1,12,44,56,-12,49.3,48.4,+0.9,+0.02
 Bologna,3,12,52,65,-13,53.1,54.9,-1.8,-0.05
 Brest,5,14,34,37,-3,29.9,40.3,-10.4,-0.37
 Metz,5,15,27,35,-8,27.2,34.0,-6.8,-0.24
 Hertha BSC,4,10,48,59,-11,40.6,51.3,-10.7,-0.31
 Union Berlin,4,11,41,58,-17,38.3,51.5,-13.2,-0.39
 Cagliari,3,14,52,56,-4,41.4,57.2,-15.9,-0.42
 Udinese,3,13,37,51,-14,40.6,51.7,-11.1,-0.29
 Newcastle Utd,1,13,38,58,-20,33.1,58.3,-25.2,-0.66
 Schalke 04,4,12,38,58,-20,35.3,49.7,-14.4,-0.42
 Crystal Palace,1,14,31,50,-19,34.0,51.3,-17.3,-0.45
 Valladolid,2,13,32,43,-11,35.5,46.3,-10.8,-0.28
 Sampdoria,3,15,48,65,-17,51.2,53.3,-2.2,-0.06
 Eibar,2,14,39,56,-17,41.4,51.0,-9.5,-0.25
 Mainz 05,4,13,44,65,-21,44.3,57.3,-13.0,-0.38
 Betis,2,15,48,60,-12,47.2,49.5,-2.3,-0.06
 Brighton,1,15,39,54,-15,41.2,54.5,-13.3,-0.35
 Dijon,5,16,27,37,-10,29.0,43.1,-14.1,-0.50
 Saint Etienne,5,17,29,45,-16,28.9,35.4,-6.4,-0.23
 Augsburg,4,15,45,63,-18,42.2,55.0,-12.8,-0.38
 Koln,4,14,51,69,-18,47.3,51.5,-4.3,-0.13
 Torino,3,16,46,68,-22,42.4,62.8,-20.4,-0.54
 West Ham,1,16,49,62,-13,46.1,61.0,-14.8,-0.39
 Alaves,2,16,34,59,-25,37.1,53.1,-16.1,-0.42
 Genoa,3,17,47,73,-26,47.4,59.2,-11.8,-0.31
 Celta Vigo,2,17,37,49,-12,37.7,41.9,-4.2,-0.11
 Nimes,5,18,29,44,-15,29.5,44.0,-14.5,-0.52
 Leganes,2,18,30,51,-21,37.3,39.0,-1.7,-0.04
 Aston Villa,1,17,41,67,-26,40.1,65.9,-25.8,-0.68
 Lecce,3,18,52,85,-33,53.9,84.0,-30.1,-0.79
 Werder Bremen,4,16,42,69,-27,41.4,48.1,-6.8,-0.20
 Bournemouth,1,18,40,65,-25,42.7,57.5,-14.9,-0.39
 Watford,1,19,36,64,-28,45.1,57.3,-12.2,-0.32
 Dusseldorf,4,17,36,67,-31,33.0,56.2,-23.2,-0.68
 Mallorca,2,19,40,65,-25,39.3,60.6,-21.4,-0.56
 Amiens,5,19,31,50,-19,26.7,35.4,-8.7,-0.31
 Espanyol,2,20,27,58,-31,33.0,44.5,-11.6,-0.30
 Brescia,3,19,35,79,-44,42.4,77.6,-35.2,-0.93
 Paderborn 07,4,18,37,74,-37,38.4,67.5,-29.0,-0.85
 Norwich City,1,20,26,75,-49,38.0,61.9,-23.9,-0.63
 SPAL,3,20,27,77,-50,39.1,67.5,-28.3,-0.75
 Toulouse,5,20,22,58,-36,29.8,44.1,-14.3,-0.51
