Squad,Country,LgR,GF,GA,GD,xG,xGA,xGD,xGD/90
 Liverpool,1,1,85,33,+52,71.5,40.0,+31.5,+0.83
 Paris S G,5,1,75,24,+51,70.9,22.9,+48.0,+1.78
 Bayern Munich,4,1,100,32,+68,82.3,34.3,+48.0,+1.41
 Real Madrid,2,1,70,25,+45,63.4,28.4,+34.9,+0.92
 Juventus,3,1,76,43,+33,68.7,41.8,+26.9,+0.71
 Barcelona,2,2,86,38,+48,66.2,36.0,+30.2,+0.80
 Inter,3,2,81,36,+45,72.3,40.6,+31.6,+0.83
 Manchester City,1,2,102,35,+67,93.1,34.8,+58.3,+1.54
 Atalanta,3,3,98,48,+50,81.8,41.4,+40.5,+1.07
 Lazio,3,4,79,42,+37,68.4,49.5,+18.9,+0.50
 Dortmund,4,2,84,41,+43,59.2,39.5,+19.8,+0.58
 Marseille,5,2,41,29,+12,34.7,30.5,+4.2,+0.15
 RB Leipzig,4,3,81,37,+44,71.0,36.2,+34.8,+1.02
 MGladbach,4,4,66,40,+26,66.4,42.4,+23.9,+0.70
 Leverkusen,4,5,61,44,+17,56.6,45.1,+11.5,+0.34
 Roma,3,5,77,51,+26,72.6,48.3,+24.3,+0.64
 Atletico Madrid,2,3,51,27,+24,52.6,30.7,+21.9,+0.58
 Sevilla,2,4,54,34,+20,47.1,33.6,+13.6,+0.36
 Rennes,5,3,38,24,+14,36.2,29.2,+7.1,+0.25
 Lille,5,4,35,27,+8,39.7,29.8,+9.8,+0.35
 Manchester Utd,1,3,66,36,+30,59.4,37.4,+22.0,+0.58
 Milan,3,6,63,46,+17,59.5,47.1,+12.4,+0.33
 Chelsea,1,4,69,54,+15,66.6,37.8,+28.7,+0.76
 Leicester City,1,5,67,41,+26,61.6,44.5,+17.1,+0.45
 Napoli,3,7,61,50,+11,62.4,39.4,+23.0,+0.60
 Villarreal,2,5,63,49,+14,57.2,44.5,+12.7,+0.33
 Tottenham,1,6,61,47,+14,46.1,52.0,-6.0,-0.16
 Wolves,1,7,51,40,+11,47.1,34.8,+12.3,+0.32
 Hoffenheim,4,6,53,53,0,49.9,51.8,-2.0,-0.06
 Arsenal,1,8,56,48,+8,49.2,56.6,-7.3,-0.19
 Real Sociedad,2,6,56,48,+8,45.1,39.2,+6.0,+0.16
 Granada,2,7,52,45,+7,40.9,41.2,-0.2,-0.01
 Reims,5,6,26,21,+5,28.4,26.3,+2.1,+0.07
 Nice,5,5,41,38,+3,35.2,41.9,-6.7,-0.24
